GeneSymbol	Marker	ImmunePhenotype	Function	JAX_Description	OmniSeq_Description	Entrez_Description	GeneCards_Description	UniProt_Description
CTAG2	LAGE1A	Cancer Testis Antigens	Unknown	"CTAG2, cancer/testis antigen 2, encodes for a cancer testis antigen that is normally expressed on male germ cells and may play a role in the regulation of gene expression (PMID: 15715909). CTAG2 expression has been observed in breast cancer and liposarcoma (PMID: 26895102, PMID: 24457462)."	"CTAG2, cancer/testis antigen 2, encodes for a cancer testis antigen that is normally expressed on male germ cells and may play a role in the regulation of gene expression (PMID: 15715909). CTAG2 is expressed by many human tumors, not not normal tissues except for testis and placenta and is immunogenic inducing both natural cellular and humoral responses (PMID: 14559844)"	"This gene encodes an autoimmunogenic tumor antigen that belongs to the ESO/LAGE family of cancer-testis antigens. This protein is expressed in a wide array of cancers including melanoma, breast cancer, bladder cancer and prostate cancer. This protein is also expressed in normal testis tissue. An alternative open reading frame product of this gene has been described in PMID:10399963. This alternate protein, termed CAMEL, is a tumor antigen that is recognized by melanoma-specific cytotoxic T-lymphocytes. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Sep 2013]"	CTAG2 (Cancer/Testis Antigen 2) is a Protein Coding gene. Diseases associated with CTAG2 include Melanoma and Small Cell Sarcoma. An important paralog of this gene is CTAG1B.	
CTLA4	CTLA4	Checkpoint Blockade (PD-1/CTLA4)	Co-inhibitory	"CTLA4 (CD152), cytotoxic T-lymphocyte-associated protein 4, is a negative regulator of T-cell activation (PMID: 27249753) that is constitutively expressed on Tregs and upregulated upon T-cell receptor (TCR) signaling to compete with the co-stimulatory molecule, CD28, for binding to CD80 and CD86 (PMID: 30565239, PMID: 28102259). CTLA4 germline mutations in CTLA4 insufficiency may increase lymphoma and gastric cancer risk (PMID: 30250467) and immune checkpoint inhibitor blockade of CTLA4 is an important component of anti-tumor immunotherapies (PMID: 23748107, PMID: 26325034)."	"CTLA4 (CD152), cytotoxic T-lymphocyte-associated protein 4, is a negative regulator of T-cell activation (PMID: 27249753) that is constitutively expressed on Tregs and upregulated upon T-cell receptor (TCR) signaling to compete with the co-stimulatory molecule, CD28, for binding to CD80 and CD86 (PMID: 30565239, PMID: 28102259). Immune checkpoint inhibitor blockade of CTLA4 is an important component of anti-tumor immunotherapies (PMID: 23748107, PMID: 26325034)."	"This gene is a member of the immunoglobulin superfamily and encodes a protein which transmits an inhibitory signal to T cells. The protein contains a V domain, a transmembrane domain, and a cytoplasmic tail. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. The membrane-bound isoform functions as a homodimer interconnected by a disulfide bond, while the soluble isoform functions as a monomer. Mutations in this gene have been associated with insulin-dependent diabetes mellitus, Graves disease, Hashimoto thyroiditis, celiac disease, systemic lupus erythematosus, thyroid-associated orbitopathy, and other autoimmune diseases. [provided by RefSeq, Jul 2008]"	"CTLA4 (Cytotoxic T-Lymphocyte Associated Protein 4) is a Protein Coding gene. Diseases associated with CTLA4 include Autoimmune Lymphoproliferative Syndrome, Type V and Celiac Disease 3. Among its related pathways are T-Cell Receptor and Co-stimulatory Signaling and Class I MHC mediated antigen processing and presentation. An important paralog of this gene is CD28."	"Inhibitory receptor acting as a major negative regulator of T-cell responses. The affinity of CTLA4 for its natural B7 family ligands, CD80 and CD86, is considerably stronger than the affinity of their cognate stimulatory coreceptor CD28."
CXCL10	CXCL10	Pro-inflammatory Response	Unknown		"CXCL10, also known as IFNγ- inducible protien 10 or IP10, is a chemokine that binds to the receptor CXCR3 and has a potent chemotactic effect on activated T-lymphocytes (PMID: 22652417). Upon binding, t-cells are activated towards sites of inflammation where they play a role in Th1-mediated immune respones (PMID:12750173)."	"This antimicrobial gene encodes a chemokine of the CXC subfamily and ligand for the receptor CXCR3. Binding of this protein to CXCR3 results in pleiotropic effects, including stimulation of monocytes, natural killer and T-cell migration, and modulation of adhesion molecule expression. [provided by RefSeq, Sep 2014]"	CXCL10 (C-X-C Motif Chemokine Ligand 10) is a Protein Coding gene. Diseases associated with CXCL10 include Hepatitis C and Endotheliitis. Among its related pathways are Signaling by GPCR and CCR5 Pathway in Macrophages. Gene Ontology (GO) annotations related to this gene include signaling receptor binding and chemokine activity. An important paralog of this gene is CXCL9.	"Pro-inflammatory cytokine that is involved in a wide variety of processes such as chemotaxis, differentiation, and activation of peripheral immune cells, regulation of cell growth, apoptosis and modulation of angiostatic effects (PubMed:7540647, PubMed:11157474, PubMed:22652417). Plays thereby an important role during viral infections by stimulating the activation and migration of immune cells to the infected sites (By similarity). Mechanistically, binding of CXCL10 to the CXCR3 receptor activates G protein-mediated signaling and results in downstream activation of phospholipase C-dependent pathway, an increase in intracellular calcium production and actin reorganization (PubMed:12750173, PubMed:19151743). In turn, recruitment of activated Th1 lymphocytes occurs at sites of inflammation (PubMed:12750173, PubMed:12663757). Activation of the CXCL10/CXCR3 axis plays also an important role in neurons in response to brain injury for activating microglia, the resident macrophage population of the central nervous system, and directing them to the lesion site. This recruitment is an essential element for neuronal reorganization (By similarity)."
CXCR2	CXCR2	Myeloid Suppression	Immunosuppressive		"CXCR2 is a chemokine and a membrane bound G-protein coupled receptor that is expressed on neutrophils, monocytes, lymphocytes and NK cells (PMID:22850671; PMID: 30319622). Activation of CXCR2 is important for the recruitment of neutrophils to a site of infection (PMID: 22850671 )"	"The protein encoded by this gene is a member of the G-protein-coupled receptor family. This protein is a receptor for interleukin 8 (IL8). It binds to IL8 with high affinity, and transduces the signal through a G-protein activated second messenger system. This receptor also binds to chemokine (C-X-C motif) ligand 1 (CXCL1/MGSA), a protein with melanoma growth stimulating activity, and has been shown to be a major component required for serum-dependent melanoma cell growth. This receptor mediates neutrophil migration to sites of inflammation. The angiogenic effects of IL8 in intestinal microvascular endothelial cells are found to be mediated by this receptor. Knockout studies in mice suggested that this receptor controls the positioning of oligodendrocyte precursors in developing spinal cord by arresting their migration. This gene, IL8RA, a gene encoding another high affinity IL8 receptor, as well as IL8RBP, a pseudogene of IL8RB, form a gene cluster in a region mapped to chromosome 2q33-q36. Alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Nov 2009]"	CXCR2 (C-X-C Motif Chemokine Receptor 2) is a Protein Coding gene. Diseases associated with CXCR2 include Autosomal Recessive Severe Congenital Neutropenia Due To Cxcr2 Deficiency and Neutrophil Migration. Among its related pathways are Signaling by GPCR and CCR5 Pathway in Macrophages. Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and C-X-C chemokine receptor activity. An important paralog of this gene is CXCR1.	"Receptor for interleukin-8 which is a powerful neutrophil chemotactic factor. Binding of IL-8 to the receptor causes activation of neutrophils. This response is mediated via a G-protein that activates a phosphatidylinositol-calcium second messenger system. Binds to IL-8 with high affinity. Also binds with high affinity to CXCL3, GRO/MGSA and NAP-2."
CXCR6	CXCR6	Pro-inflammatory Response	Unknown		"CXCR6 is a chemokine receptor that is expressed by a subset of memory/effector T-cells, NK cells and NKT cells, and plasma cells (PMID: 12914753). CXCR6 may play a role in facilitating immune responses via cell to cell contact and mediatiating inflammation (PMID: 12914753; PMID:11238560 )"		CXCR6 (C-X-C Motif Chemokine Receptor 6) is a Protein Coding gene. Diseases associated with CXCR6 include Sarcoidosis 1 and Immune Deficiency Disease. Among its related pathways are Signaling by GPCR and CCR5 Pathway in Macrophages. Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and C-X-C chemokine receptor activity. An important paralog of this gene is CCR9.	Receptor for the C-X-C chemokine CXCL16. Used as a coreceptor by SIVs and by strains of HIV-2 and m-tropic HIV-1.
DDX58	DDX58	Pro-inflammatory Response	Immunostimulatory	"DDX58, also known as retinoic acid-inducible gene I (RIG-1), is a cytoplasmic Dex(D/H) box helicase that detects intracellular viral products to signal IFN-(α/β) production in infected cells (PMID: 17942531). Upon viral recognition, DDX58 activates antiviral signaling pathways that lead to transcriptional up-regulation of type I and III interferons (IFN) (PMID:29534222)."	"DDX58, also known as retinoic acid-inducible gene I (RIG-1), is a cytoplasmic Dex(D/H) box helicase that detects intracellular viral products to signal IFN-(α/β) production in infected cells (PMID: 17942531). Upon viral recognition, DDX58 activates antiviral signaling pathways that lead to transcriptional up-regulation of type I and III interferons (IFN) (PMID:29534222)."	"DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases which are implicated in a number of cellular processes involving RNA binding and alteration of RNA secondary structure. This gene encodes a protein containing RNA helicase-DEAD box protein motifs and a caspase recruitment domain (CARD). It is involved in viral double-stranded (ds) RNA recognition and the regulation of immune response. [provided by RefSeq, Jul 2008]"	DDX58 (DExD/H-Box Helicase 58) is a Protein Coding gene. Diseases associated with DDX58 include Singleton-Merten Syndrome 2 and Singleton-Merten Syndrome. Among its related pathways are Metabolism of proteins and RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways. Gene Ontology (GO) annotations related to this gene include nucleic acid binding and hydrolase activity. An important paralog of this gene is IFIH1.	"Innate immune receptor that senses cytoplasmic viral nucleic acids and activates a downstream signaling cascade leading to the production of type I interferons and proinflammatory cytokines. Forms a ribonucleoprotein complex with viral RNAs on which it homooligomerizes to form filaments. The homooligomerization allows the recruitment of RNF135 an E3 ubiquitin-protein ligase that activates and amplifies the RIG-I-mediated antiviral signaling in an RNA length-dependent manner through ubiquitination-dependent and -independent mechanisms (PubMed:28469175, PubMed:31006531). Upon activation, associates with mitochondria antiviral signaling protein (MAVS/IPS1) that activates the IKK-related kinases TBK1 and IKBKE which in turn phosphorylate the interferon regulatory factors IRF3 and IRF7, activating transcription of antiviral immunological genes including the IFN-alpha and IFN-beta interferons (PubMed:28469175, PubMed:31006531). Ligands include 5'-triphosphorylated ssRNAs and dsRNAs but also short dsRNAs (<1 kb in length). In addition to the 5'-triphosphate moiety, blunt-end base pairing at the 5'-end of the RNA is very essential. Overhangs at the non-triphosphorylated end of the dsRNA RNA have no major impact on its activity. A 3'overhang at the 5'triphosphate end decreases and any 5'overhang at the 5' triphosphate end abolishes its activity. Detects both positive and negative strand RNA viruses including members of the families Paramyxoviridae: Human respiratory syncytial virus and measles virus (MeV), Rhabdoviridae: vesicular stomatitis virus (VSV), Orthomyxoviridae: influenza A and B virus, Flaviviridae: Japanese encephalitis virus (JEV), hepatitis C virus (HCV), dengue virus (DENV) and west Nile virus (WNV). It also detects rotaviruses and reoviruses. Also involved in antiviral signaling in response to viruses containing a dsDNA genome such as Epstein-Barr virus (EBV). Detects dsRNA produced from non-self dsDNA by RNA polymerase III, such as Epstein-Barr virus-encoded RNAs (EBERs). May play important roles in granulocyte production and differentiation, bacterial phagocytosis and in the regulation of cell migration."
ENTPD1	CD39	Metabolic Immune Escape	Immunosuppressive	"ENTPD1 (CD39), ectonucleoside triphosphate diphosphohydrolase 1, converts ATP to adenosine to regulate cellular homeostasis and functions as an immune checkpoint inhibitor (PMID: 29914571). ENTPD1 (CD39) high expression in the tumor microenvironment has been implicated as a prognostic biomarker in a variety of tumor types, including gastric, hepatocellular, and chronic lymphocytic leukemia (PMID: 29914571, PMID: 28258700)."	"ENTPD1 (CD39), ectonucleoside triphosphate diphosphohydrolase 1, is expressed by B cells, innate cells, regulatory T-cells as well as activated CD4 and CD8 T-cells (PMID: 30006565). CD39 converts ATP to adenosine to regulate cellular homeostasis and functions as an immune checkpoint inhibitor and is a marker for exhausted T-cells in patients with chronic viral infections (PMID: 29914571; PMID: 30006565)"	"The protein encoded by this gene is a plasma membrane protein that hydrolyzes extracellular ATP and ADP to AMP. Inhibition of this protein's activity may confer anticancer benefits. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2015]"	"ENTPD1 (Ectonucleoside Triphosphate Diphosphohydrolase 1) is a Protein Coding gene. Diseases associated with ENTPD1 include Spastic Paraplegia 64, Autosomal Recessive and Radiation Proctitis. Among its related pathways are ATP/ITP metabolism and Metabolism of nucleotides. Gene Ontology (GO) annotations related to this gene include hydrolase activity and nucleoside-diphosphatase activity. An important paralog of this gene is ENTPD8."	"In the nervous system, could hydrolyze ATP and other nucleotides to regulate purinergic neurotransmission. Could also be implicated in the prevention of platelet aggregation by hydrolyzing platelet-activating ADP to AMP. Hydrolyzes ATP and ADP equally well."
FOXP3	FOXP3	Tumor Infiltrating Lymphocytes (TILs)	Cytotoxic T-cells/T-regs		"FOXP3, forkhead family protein 3, acts as a repressor of transcription and is an essential regulator of the development and function of regulatory T-cells (PMID: 17360565; PMID: 30784578). T-cells expressing FOXP3 have a critical role in the maintenance of immune homeostatis and prevention of autoimmunity (PMID: 30784578) "	"The protein encoded by this gene is a member of the forkhead/winged-helix family of transcriptional regulators. Defects in this gene are the cause of immunodeficiency polyendocrinopathy, enteropathy, X-linked syndrome (IPEX), also known as X-linked autoimmunity-immunodeficiency syndrome. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]"	"FOXP3 (Forkhead Box P3) is a Protein Coding gene. Diseases associated with FOXP3 include Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked and Rare Deficiency Anemia. Among its related pathways are Th17 cell differentiation and IL2 signaling events mediated by PI3K. Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and sequence-specific DNA binding. An important paralog of this gene is ENSG00000285708."	"Transcriptional regulator which is crucial for the development and inhibitory function of regulatory T-cells (Treg). Plays an essential role in maintaining homeostasis of the immune system by allowing the acquisition of full suppressive function and stability of the Treg lineage, and by directly modulating the expansion and function of conventional T-cells. Can act either as a transcriptional repressor or a transcriptional activator depending on its interactions with other transcription factors, histone acetylases and deacetylases. The suppressive activity of Treg involves the coordinate activation of many genes, including CTLA4 and TNFRSF18 by FOXP3 along with repression of genes encoding cytokines such as interleukin-2 (IL2) and interferon-gamma (IFNG). Inhibits cytokine production and T-cell effector function by repressing the activity of two key transcription factors, RELA and NFATC2 (PubMed:15790681). Mediates transcriptional repression of IL2 via its association with histone acetylase KAT5 and histone deacetylase HDAC7 (PubMed:17360565). Can activate the expression of TNFRSF18, IL2RA and CTLA4 and repress the expression of IL2 and IFNG via its association with transcription factor RUNX1 (PubMed:17377532). Inhibits the differentiation of IL17 producing helper T-cells (Th17) by antagonizing RORC function, leading to down-regulation of IL17 expression, favoring Treg development (PubMed:18368049). Inhibits the transcriptional activator activity of RORA (PubMed:18354202). Can repress the expression of IL2 and IFNG via its association with transcription factor IKZF4 (By similarity)."
GATA3	GATA3	Other Immunotherapy Markers	Unknown	"GATA3, trans-acting T-cell-specific transcription factor, is a zinc-finger transcription factor that regulates development and differentiation (PMID: 7550312) and plays a vital role in immune function (PMID: 21924928). GATA3 regulates tumor differentiation in breast cancer (PMID: 20189993, PMID: 28703335) and suppresses neoplastic transformation of urothelial cells (PMID: 25232488)."	"GATA3, trans-acting T-cell-specific transcription factor, is a zinc-finger transcription factor that regulates development and differentiation (PMID: 7550312) and plays a vital role in immune function (PMID: 21924928; PMID: 28320875)"	"This gene encodes a protein which belongs to the GATA family of transcription factors. The protein contains two GATA-type zinc fingers and is an important regulator of T-cell development and plays an important role in endothelial cell biology. Defects in this gene are the cause of hypoparathyroidism with sensorineural deafness and renal dysplasia. [provided by RefSeq, Nov 2009]"	"GATA3 (GATA Binding Protein 3) is a Protein Coding gene. Diseases associated with GATA3 include Hypoparathyroidism, Sensorineural Deafness, And Renal Disease and End Stage Renal Failure. Among its related pathways are Metabolism of proteins and Preimplantation Embryo. Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and transcription factor binding. An important paralog of this gene is GATA2."	Transcriptional activator which binds to the enhancer of the T-cell receptor alpha and delta genes. Binds to the consensus sequence 5'-AGATAG-3'. Required for the T-helper 2 (Th2) differentiation process following immune and inflammatory responses.
GZMB	GZMB	T-cell Primed	Anti-tumor effector		"GZMB, granzyme B,  is a granule associated serine protease that is induced when t-cells and NK cells acquire cytotoxic function (PMID: 8258716). GZMB plays a central role in killing human tumor cell lines, along with inducing cell death and apoptosis (PMID: 29669300)"	"This gene encodes a member of the granzyme subfamily of proteins, part of the peptidase S1 family of serine proteases. The encoded preproprotein is secreted by natural killer (NK) cells and cytotoxic T lymphocytes (CTLs) and proteolytically processed to generate the active protease, which induces target cell apoptosis. This protein also processes cytokines and degrades extracellular matrix proteins, and these roles are implicated in chronic inflammation and wound healing. Expression of this gene may be elevated in human patients with cardiac fibrosis. [provided by RefSeq, Sep 2016]"	"GZMB (Granzyme B) is a Protein Coding gene. Diseases associated with GZMB include Lymphocytic Gastritis and Peripheral T-Cell Lymphoma. Among its related pathways are CDK-mediated phosphorylation and removal of Cdc6 and Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.. Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase activity and serine-type peptidase activity. An important paralog of this gene is GZMH."	"This enzyme is necessary for target cell lysis in cell-mediated immune responses. It cleaves after Asp. Seems to be linked to an activation cascade of caspases (aspartate-specific cysteine proteases) responsible for apoptosis execution. Cleaves caspase-3, -7, -9 and 10 to give rise to active enzymes mediating apoptosis."
HAVCR2	TIM3	Checkpoint Blockade (Other)	Co-inhibitory		"HAVCR2, also known as the Tim-3 protein, is a member of the T-cell immunoglobilin and mucin domain (Tim) family and expressed on  differentiated TH1 cells (PMID: 24825777). TIM3 has possible role in dampening the immune response and in contributing to a tumor's ability to acquire resistance to the immune checkpoint blockade (PMID: 31733828)"	"The protein encoded by this gene belongs to the immunoglobulin superfamily, and TIM family of proteins. CD4-positive T helper lymphocytes can be divided into types 1 (Th1) and 2 (Th2) on the basis of their cytokine secretion patterns. Th1 cells are involved in cell-mediated immunity to intracellular pathogens and delayed-type hypersensitivity reactions, whereas, Th2 cells are involved in the control of extracellular helminthic infections and the promotion of atopic and allergic diseases. This protein is a Th1-specific cell surface protein that regulates macrophage activation, and inhibits Th1-mediated auto- and alloimmune responses, and promotes immunological tolerance. [provided by RefSeq, Sep 2011]"	"HAVCR2 (Hepatitis A Virus Cellular Receptor 2) is a Protein Coding gene. Diseases associated with HAVCR2 include T-Cell Lymphoma, Subcutaneous Panniculitis-Like and Panniculitis. Among its related pathways are T Cell Co-Signaling Pathway: Ligand-Receptor Interactions and Innate Immune System. An important paralog of this gene is HAVCR1."	"Cell surface receptor implicated in modulating innate and adaptive immune responses. Generally accepted to have an inhibiting function. Reports on stimulating functions suggest that the activity may be influenced by the cellular context and/or the respective ligand (PubMed:24825777). Regulates macrophage activation (PubMed:11823861). Inhibits T-helper type 1 lymphocyte (Th1)-mediated auto- and alloimmune responses and promotes immunological tolerance (PubMed:14556005). In CD8+ cells attenuates TCR-induced signaling, specifically by blocking NF-kappaB and NFAT promoter activities resulting in the loss of IL-2 secretion. The function may implicate its association with LCK proposed to impair phosphorylation of TCR subunits, and/or LGALS9-dependent recruitment of PTPRC to the immunological synapse (PubMed:24337741, PubMed:26492563). In contrast, shown to activate TCR-induced signaling in T-cells probably implicating ZAP70, LCP2, LCK and FYN (By similarity). Expressed on Treg cells can inhibit Th17 cell responses (PubMed:24838857). Receptor for LGALS9 (PubMed:16286920, PubMed:24337741). Binding to LGALS9 is believed to result in suppression of T-cell responses; the resulting apoptosis of antigen-specific cells may implicate HAVCR2 phosphorylation and disruption of its association with BAG6. Binding to LGALS9 is proposed to be involved in innate immune response to intracellular pathogens. Expressed on Th1 cells interacts with LGALS9 expressed on Mycobacterium tuberculosis-infected macrophages to stimulate antibactericidal activity including IL-1 beta secretion and to restrict intracellular bacterial growth (By similarity). However, the function as receptor for LGALS9 has been challenged (PubMed:23555261). Also reported to enhance CD8+ T-cell responses to an acute infection such as by Listeria monocytogenes (By similarity). Receptor for phosphatidylserine (PtSer); PtSer-binding is calcium-dependent. May recognize PtSer on apoptotic cells leading to their phagocytosis. Mediates the engulfment of apoptotic cells by dendritic cells. Expressed on T-cells, promotes conjugation but not engulfment of apoptotic cells. Expressed on dendritic cells (DCs) positively regulates innate immune response and in synergy with Toll-like receptors promotes secretion of TNF-alpha. In tumor-imfiltrating DCs suppresses nucleic acid-mediated innate immune repsonse by interaction with HMGB1 and interfering with nucleic acid-sensing and trafficking of nucleid acids to endosomes (By similarity). Expressed on natural killer (NK) cells acts as a coreceptor to enhance IFN-gamma production in response to LGALS9 (PubMed:22323453). In contrast, shown to suppress NK cell-mediated cytotoxicity (PubMed:22383801). Negatively regulates NK cell function in LPS-induced endotoxic shock (By similarity)."
ICOS	ICOS	T-cell Primed	Co-stimulatory		"ICOS, inducible co-stimulator, is a member of the CD28 family. ICOS enhances basic T-cell responses to foreign antigens such as proliferation, secretion of lymphokines, upregulation of molecules that mediate cell-cell interaction and effective help for antibody secretion by B-cells (PMID: 9930702; PMID:11169414)"	"The protein encoded by this gene belongs to the CD28 and CTLA-4 cell-surface receptor family. It forms homodimers and plays an important role in cell-cell signaling, immune responses, and regulation of cell proliferation. [provided by RefSeq, Jul 2008]"	"ICOS (Inducible T Cell Costimulator) is a Protein Coding gene. Diseases associated with ICOS include Immunodeficiency, Common Variable, 1 and Common Variable Immunodeficiency. Among its related pathways are Downstream signaling events of B Cell Receptor (BCR) and GAB1 signalosome."	"Enhances all basic T-cell responses to a foreign antigen, namely proliferation, secretion of lymphokines, up-regulation of molecules that mediate cell-cell interaction, and effective help for antibody secretion by B-cells. Essential both for efficient interaction between T and B-cells and for normal antibody responses to T-cell dependent antigens. Does not up-regulate the production of interleukin-2, but superinduces the synthesis of interleukin-10. Prevents the apoptosis of pre-activated T-cells. Plays a critical role in CD40-mediated class switching of immunoglobin isotypes (By similarity)."
ICOSLG	ICOSLG	T-cell Primed	Co-stimulatory	"ICOSLG, inducible T cell costimulator ligand, encodes a member of the B7 family of ligands, which triggers T cell proliferation and cytokine production upon binding to the T cell receptor, ICOS (PMID: 11973139, PMID: 10549624). Expression of ICOSLG has been identified in myeloma and acute myeloid leukemia (PMID: 19188146, PMID: 16115907), and over expression of ICOSLG has been observed in esophageal squamous cell carcinoma (PMID: 29147607)."	"ICOSLG, inducible T cell costimulator ligand, encodes a member of the B7 family of ligands, which triggers T cell proliferation and cytokine production upon binding to the T cell receptor, ICOS (PMID: 11973139, PMID: 10549624). Expression of ISOSLG is implicated in diesase progression due to regulation of antitumor adaptive immunity (PMID: 31634400)"		ICOSLG (Inducible T Cell Costimulator Ligand) is a Protein Coding gene. Diseases associated with ICOSLG include Immune System Disease and Nasal Cavity Disease. Among its related pathways are ICos-ICosL Pathway in T-Helper Cell and Class I MHC mediated antigen processing and presentation. Gene Ontology (GO) annotations related to this gene include signaling receptor binding. An important paralog of this gene is LOC102723996.	"Ligand for the T-cell-specific cell surface receptor ICOS. Acts as a costimulatory signal for T-cell proliferation and cytokine secretion; induces also B-cell proliferation and differentiation into plasma cells. Could play an important role in mediating local tissue responses to inflammatory conditions, as well as in modulating the secondary immune response by co-stimulating memory T-cell function (By similarity)."
IDO1	IDO1	Metabolic Immune Escape	Immunosuppressive	"IDO1, indoleamine 2,3-dioxygenase 1, is an enzyme that catalyzes the conversion of tryptophan to kynurenine, and plays an important role in the inflammatory response (PMID: 29413421, PMID: 26378585). IDO1 promoter hypomethylation is associated with reduced survival in patients with esophageal cancer (PMID: 31012515), and expression of IDO1 has been demonstrated in various solid tumors, including endometrial, cervical, and non-small cell lung cancer (PMID: 25271151)."	"IDO1, indoleamine 2,3-dioxygenase 1, is an enzyme that catalyzes the conversion of tryptophan to kynurenine, and plays an important role in the inflammatory response (PMID: 29413421, PMID: 26378585). IDO1 participates in a spectrum of immune responses during chronic infections, such as  immune-escape of cancer cells, and tissue inflammation (PMID: 25157255)"	"This gene encodes indoleamine 2,3-dioxygenase (IDO) - a heme enzyme that catalyzes the first and rate-limiting step in tryptophan catabolism to N-formyl-kynurenine. This enzyme acts on multiple tryptophan substrates including D-tryptophan, L-tryptophan, 5-hydroxy-tryptophan, tryptamine, and serotonin. This enzyme is thought to play a role in a variety of pathophysiological processes such as antimicrobial and antitumor defense, neuropathology, immunoregulation, and antioxidant activity. Through its expression in dendritic cells, monocytes, and macrophages this enzyme modulates T-cell behavior by its peri-cellular catabolization of the essential amino acid tryptophan.[provided by RefSeq, Feb 2011]"	"IDO1 (Indoleamine 2,3-Dioxygenase 1) is a Protein Coding gene. Diseases associated with IDO1 include Listeriosis and Chlamydia. Among its related pathways are NAD metabolism and Tryptophan metabolism. Gene Ontology (GO) annotations related to this gene include heme binding and tryptophan 2,3-dioxygenase activity."	"Catalyzes the first and rate limiting step of the catabolism of the essential amino acid tryptophan along the kynurenine pathway (PubMed:17671174). Involved in the peripheral immune tolerance, contributing to maintain homeostasis by preventing autoimmunity or immunopathology that would result from uncontrolled and overreacting immune responses (PubMed:25691885). Tryptophan shortage inhibits T lymphocytes division and accumulation of tryptophan catabolites induces T-cell apoptosis and differentiation of regulatory T-cells (PubMed:25691885). Acts as a suppressor of anti-tumor immunity (PubMed:23103127, PubMed:25157255, PubMed:14502282, PubMed:25691885). Limits the growth of intracellular pathogens by depriving tryptophan (PubMed:25691885). Protects the fetus from maternal immune rejection (PubMed:25691885)."
IFNG	IFNG	T-cell Primed	Anti-tumor effector		"IFNG, interferon-γ is a  pleiotropic cytokine produced by a variety of immune cells including T-helper 1 (TH1) cells and natural killer cells (PMID: 16728393). IFNG is recognized for its role in antitumor host immuniity and activation of cytotoxic T-cells and dendritic cells, particularly through the activation of macrophages (PMID: 30336781; PMID: 30402328)"	"This gene encodes a soluble cytokine that is a member of the type II interferon class. The encoded protein is secreted by cells of both the innate and adaptive immune systems. The active protein is a homodimer that binds to the interferon gamma receptor which triggers a cellular response to viral and microbial infections. Mutations in this gene are associated with an increased susceptibility to viral, bacterial and parasitic infections and to several autoimmune diseases. [provided by RefSeq, Dec 2015]"	IFNG (Interferon Gamma) is a Protein Coding gene. Diseases associated with IFNG include Hepatitis C Virus and Tuberous Sclerosis 2. Among its related pathways are Immune response Role of DAP12 receptors in NK cells and Development and heterogeneity of the ILC family. Gene Ontology (GO) annotations related to this gene include cytokine activity and interferon-gamma receptor binding.	"Produced by lymphocytes activated by specific antigens or mitogens. IFN-gamma, in addition to having antiviral activity, has important immunoregulatory functions. It is a potent activator of macrophages, it has antiproliferative effects on transformed cells and it can potentiate the antiviral and antitumor effects of the type I interferons."
