gene_name,synonymsString,editor,edit_date
PTEN,PTEN,loader,2020-04-19-16-02-08-199573
PTPN11,PTPN11,loader,2020-04-19-16-02-11-213575
PTPRD,PTPRD,loader,2020-04-19-16-02-12-633315
PTPRS,PTPRS,loader,2020-04-19-16-02-15-016302
PTPRT,PTPRT,loader,2020-04-19-16-02-16-645261
PVR,PVR,Carrie.Hoefer@omniseq.com,2020-04-19-19-10-05-424526
QKI,QKI,loader,2020-04-19-16-02-18-954497
RAB35,RAB35,loader,2020-04-19-16-02-20-291504
RAC1,RAC1,loader,2020-04-19-16-02-22-990579
RAD21,RAD21,loader,2020-04-19-16-02-25-890084
RAD50,RAD50,loader,2020-04-19-16-02-28-876713
RAD51,RAD51,loader,2020-04-19-16-02-32-120949
RAD51B,RAD51B,loader,2020-04-19-16-02-33-490430
RAD51C,RAD51C,loader,2020-04-19-16-02-34-780720
RAD51D,RAD51D,loader,2020-04-19-16-02-36-070435
RAD52,RAD52,loader,2020-04-19-16-02-37-243022
RAD54L,RAD54L,loader,2020-04-19-16-02-38-301000
RAF1,RAF1,loader,2020-04-19-16-02-40-495962
RANBP2,RANBP2,loader,2020-04-19-16-02-45-668159
RARA,RARA,loader,2020-04-19-16-02-48-910504
RASA1,RASA1,loader,2020-04-19-16-02-50-539858
RB1,RB1,loader,2020-04-19-16-02-52-785322
RBM10,RBM10,loader,2020-04-19-16-02-54-644857
RECQL4,RECQL4,loader,2020-04-19-16-02-56-369381
REL,REL,loader,2020-04-19-16-02-57-669257
RET,RET,loader,2020-04-19-16-03-01-749530
RHEB,RHEB,loader,2020-04-19-16-03-04-416103
RHOA,RHOA,loader,2020-04-19-16-03-09-298944
RICTOR,RICTOR,loader,2020-04-19-16-03-10-853182
RIT1,RIT1,loader,2020-04-19-16-03-12-275826
RNF43,RNF43,loader,2020-04-19-16-03-14-491883
ROS1,ROS1,loader,2020-04-19-16-03-16-020746
RPS6KA4,RPS6KA4,loader,2020-04-19-16-03-17-324587
RPS6KB1,RPS6KB1,loader,2020-04-19-16-03-24-204685
RPS6KB2,RPS6KB2,loader,2020-04-19-16-03-26-267920
RPTOR,RPTOR,loader,2020-04-19-16-03-27-770749
RUNX1,RUNX1,loader,2020-04-19-16-03-30-783704
RUNX1T1,RUNX1T1,loader,2020-04-19-16-03-34-076359
RYBP,RYBP,loader,2020-04-19-16-03-37-536193
SDHA,SDHA,loader,2020-04-19-16-03-39-633104
SDHAF2,SDHAF2,loader,2020-04-19-16-03-41-040559
SDHB,SDHB,loader,2020-04-19-16-03-42-531949
SDHC,SDHC,loader,2020-04-19-16-03-43-730874
SDHD,SDHD,loader,2020-04-19-16-03-45-107484
SETBP1,SETBP1,loader,2020-04-19-16-03-46-407357
SETD2,SETD2,loader,2020-04-19-16-03-53-762870
SF3B1,SF3B1,loader,2020-04-19-16-03-57-415335
SH2B3,SH2B3,loader,2020-04-19-16-03-58-578459
SH2D1A,SH2D1A,loader,2020-04-19-16-04-01-348466
SHQ1,SHQ1,loader,2020-04-19-16-04-02-472695
SLIT2,SLIT2,loader,2020-04-19-16-04-04-070592
SLX4,SLX4,loader,2020-04-19-16-04-05-504271
SMAD2,SMAD2,loader,2020-04-19-16-04-07-306389
SMAD3,SMAD3,loader,2020-04-19-16-04-09-458171
SMAD4,SMAD4,loader,2020-04-19-16-04-11-781199
SMARCA4,SMARCA4,loader,2020-04-19-16-04-13-969474
SMARCB1,SMARCB1,loader,2020-04-19-16-04-15-527785
SMARCD1,SMARCD1,loader,2020-04-19-16-04-17-727321
SMC1A,SMC1A,loader,2020-04-19-16-04-19-689609
SMC3,SMC3,loader,2020-04-19-16-04-21-066509
SMO,SMO,loader,2020-04-19-16-04-23-146723
SNCAIP,SNCAIP,loader,2020-04-19-16-04-24-364059
SOCS1,SOCS1,loader,2020-04-19-16-04-25-874917
SOX10,SOX10,loader,2020-04-19-16-04-27-838897
SOX17,SOX17,loader,2020-04-19-16-04-29-161764
SOX2,SOX2,loader,2020-04-19-16-04-30-877932
SOX9,SOX9,loader,2020-04-19-16-04-33-092322
SPEN,SPEN,loader,2020-04-19-16-04-34-612852
SPOP,SPOP,loader,2020-04-19-16-04-36-865390
SPTA1,SPTA1,loader,2020-04-19-16-04-38-269474
SRC,SRC,loader,2020-04-19-16-04-44-820064
SRSF2,SRSF2,loader,2020-04-19-16-04-46-444792
SSX2,SSX2,Carrie.Hoefer@omniseq.com,2020-04-19-19-10-07-672103
STAG1,STAG1,loader,2020-04-19-16-04-47-757363
STAG2,STAG2,loader,2020-04-19-16-04-49-197648
STAT1,STAT1,loader,2020-04-19-16-04-52-128889
STAT3,STAT3,loader,2020-04-19-16-04-57-575185
STAT4,STAT4,loader,2020-04-19-16-04-59-366573
STAT5A,STAT5A,loader,2020-04-19-16-05-00-648751
STAT5B,STAT5B,loader,2020-04-19-16-05-02-345007
STK11,STK11,loader,2020-04-19-16-05-04-636283
STK40,STK40,loader,2020-04-19-16-05-06-505975
SUFU,SUFU,loader,2020-04-19-16-05-17-807549
SUZ12,SUZ12,loader,2020-04-19-16-05-19-398417
SYK,SYK,loader,2020-04-19-16-05-21-780286
TAF1,TAF1,loader,2020-04-19-16-05-25-937496
TBX21,TBX21,loader,2020-04-19-16-05-28-049987
TBX3,TBX3,loader,2020-04-19-16-05-29-743145
TCF3,TCF3,loader,2020-04-19-16-05-32-790344
TCF7L2,TCF7L2,loader,2020-04-19-16-05-34-741380
TENT5C,FAM46C,loader,2020-04-19-15-52-05-445347
TERC,TERC,loader,2020-04-19-16-05-35-312775
TERT,TERT,loader,2020-04-19-16-05-37-486204
TET1,TET1,loader,2020-04-19-16-05-40-007205
TET2,TET2,loader,2020-04-19-16-05-41-833189
TFE3,TFE3,loader,2020-04-19-16-05-43-293041
TFRC,TFRC,loader,2020-04-19-16-05-45-651629
TGFB1,TGFB1,loader,2020-04-19-16-05-48-122348
TGFBR1,TGFBR1,loader,2020-04-19-16-05-50-348723
TGFBR2,TGFBR2,loader,2020-04-19-16-05-52-541483
TIAF1,TIAF1,loader,2020-04-19-16-05-53-642883
TIGIT,TIGIT,Carrie.Hoefer@omniseq.com,2020-04-19-19-10-11-134702
TLR7,TLR7,Carrie.Hoefer@omniseq.com,2020-04-19-19-10-13-221802
TLR8,TLR8,Carrie.Hoefer@omniseq.com,2020-04-19-19-10-15-796729
TLR9,TLR9,Carrie.Hoefer@omniseq.com,2020-04-19-19-10-19-316710
TMEM127,TMEM127,loader,2020-04-19-16-05-55-946183
TMPRSS2,TMPRSS2,loader,2020-04-19-16-05-57-214399
TNF,TNF,loader,2020-04-19-16-06-00-558286
TNFAIP3,TNFAIP3,loader,2020-04-19-16-06-02-416108
TNFRSF14,TNFRSF14,loader,2020-04-19-16-06-05-249442
TNFRSF18,TNFRSF18,loader,2020-04-19-16-06-06-375621
TNFRSF4,TNFRSF4,loader,2020-04-19-16-06-07-832113
TNFRSF9,TNFRSF9,loader,2020-04-19-16-06-09-338335
TNFSF4,TNFSF4,loader,2020-04-19-16-06-10-786260
TOP1,TOP1,loader,2020-04-19-16-06-12-518801
TOP2A,TOP2A,loader,2020-04-19-16-06-14-650047
TP53,TP53,loader,2020-04-19-16-06-20-189100
TP63,TP63,loader,2020-04-19-16-06-22-657124
TRAF2,TRAF2,loader,2020-04-19-16-06-24-505049
TRAF7,TRAF7,loader,2020-04-19-16-06-26-693711
TSC1,TSC1,loader,2020-04-19-16-06-30-034202
TSC2,TSC2,loader,2020-04-19-16-06-32-996776
TSHR,TSHR,loader,2020-04-19-16-06-36-134451
U2AF1,U2AF1,loader,2020-04-19-16-06-37-490963
VEGFA,VEGFA,loader,2020-04-19-16-06-40-518684
VHL,VHL,loader,2020-04-19-16-06-42-861685
VSIR,C10orf54,loader,2020-04-19-15-47-38-054767
VTCN1,VTCN1,loader,2020-04-19-16-06-44-140466
WT1,WT1,loader,2020-04-19-16-06-50-375681
XIAP,XIAP,loader,2020-04-19-16-06-52-379193
XPO1,XPO1,loader,2020-04-19-16-06-53-984213
XRCC2,XRCC2,loader,2020-04-19-16-06-55-264091
YAP1,YAP1,loader,2020-04-19-16-07-00-378292
YES1,YES1,loader,2020-04-19-16-07-01-707214
ZBTB2,ZBTB2,loader,2020-04-19-16-07-02-789992
ZBTB7A,ZBTB7A,loader,2020-04-19-16-07-06-774761
ZFHX3,ZFHX3,loader,2020-04-19-16-07-09-751320
ZNF217,ZNF217,loader,2020-04-19-16-07-11-092139
ZNF703,ZNF703,loader,2020-04-19-16-07-12-177600
ZRSR2,ZRSR2,loader,2020-04-19-16-07-13-701502
